flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2895.0,2807.0,2871.0,3121.0,3024.0,0.992126,-0.050903,-0.114014,0.001343,-1.0,-1.0,-1.0,2007.0,-896.0,7752.0,154.0,-66.0,-183.0,190.0,-81.0,-135.0,0.226095,-0.101311,0.968726,4024.0,-1790.0,15502.0,-7.0,-5.0,-4.0
2896.0,2807.0,2875.0,3122.0,3023.0,0.992126,-0.050964,-0.114136,0.001343,-1.0,-1.0,-1.0,2003.0,-895.0,7750.0,148.0,-64.0,-185.0,185.0,-80.0,-139.0,0.226337,-0.101433,0.968692,3980.0,-1772.0,15514.0,-5.0,-3.0,-4.0
2895.0,2807.0,2867.0,3120.0,3025.0,0.992126,-0.051147,-0.114319,0.001282,-1.0,-1.0,-1.0,2003.0,-903.0,7732.0,145.0,-69.0,-203.0,186.0,-87.0,-156.0,0.226706,-0.101783,0.968632,4054.0,-1840.0,15406.0,-4.0,0.0,-4.0
2895.0,2810.0,2875.0,3121.0,3024.0,0.992065,-0.051147,-0.114441,0.001282,-1.0,0.0,-1.0,2002.0,-898.0,7736.0,142.0,-64.0,-197.0,182.0,-81.0,-152.0,0.226935,-0.101777,0.968483,3966.0,-1786.0,15554.0,0.0,2.0,-3.0
2895.0,2807.0,2875.0,3121.0,3025.0,0.992065,-0.05127,-0.114563,0.001221,-1.0,0.0,-1.0,2000.0,-898.0,7741.0,138.0,-62.0,-192.0,177.0,-79.0,-148.0,0.227183,-0.102005,0.968442,3960.0,-1786.0,15458.0,-2.0,1.0,-4.0
2897.0,2806.0,2870.0,3122.0,3025.0,0.992065,-0.051331,-0.114624,0.00116,-1.0,-1.0,-1.0,2001.0,-902.0,7746.0,138.0,-65.0,-187.0,176.0,-81.0,-143.0,0.22731,-0.102112,0.968422,4016.0,-1814.0,15522.0,-1.0,0.0,-5.0
2895.0,2805.0,2873.0,3123.0,3031.0,0.992004,-0.051392,-0.114807,0.001099,-1.0,-1.0,-1.0,2004.0,-897.0,7751.0,138.0,-59.0,-180.0,174.0,-75.0,-136.0,0.227665,-0.102214,0.968252,4004.0,-1774.0,15496.0,-4.0,-2.0,-6.0
2897.0,2807.0,2875.0,3123.0,3025.0,0.992004,-0.051453,-0.114929,0.001099,-1.0,-1.0,-1.0,2008.0,-897.0,7752.0,140.0,-58.0,-179.0,176.0,-73.0,-135.0,0.227907,-0.102335,0.968218,4082.0,-1802.0,15516.0,-3.0,-1.0,-6.0
2896.0,2807.0,2871.0,3119.0,3027.0,0.992004,-0.051575,-0.115112,0.001038,-1.0,0.0,-1.0,2013.0,-906.0,7748.0,142.0,-65.0,-183.0,179.0,-81.0,-138.0,0.228277,-0.102564,0.968163,4042.0,-1824.0,15492.0,0.0,2.0,-6.0
2897.0,2803.0,2871.0,3120.0,3025.0,0.992004,-0.051575,-0.115173,0.000977,-1.0,0.0,-1.0,2008.0,-902.0,7751.0,136.0,-61.0,-180.0,172.0,-77.0,-136.0,0.228404,-0.10255,0.968149,3990.0,-1772.0,15506.0,-2.0,2.0,-6.0
